,airline,price,depart_time,delta
0,CZ3832,1300,2017-03-23,6
1,CZ3832,1400,2017-03-23,3
2,CZ3832,1400,2017-03-23,0
3,CZ3832,1400,2017-03-23,-3
4,CZ3832,1400,2017-03-23,-6
5,CZ3832,3500,2017-03-23,-9
