,airline,price,depart_time,delta
0,HO1201,1120,2017-03-23,6
1,HO1201,1050,2017-03-23,3
2,HO1201,1050,2017-03-23,0
3,HO1201,1050,2017-03-23,-3
4,HO1201,1050,2017-03-23,-6
5,HO1201,980,2017-03-23,-9
